Species,Geomydoecus_ewingi,Geomydoecus_texanus,Geomydoecus_actuosi,Geomydoecus_chapini,Geomydoecus_trichopi,Geomydoecus_thomomyus,Geomydoecus_geomydis,Geomydoecus_oklahomensis,Geomydoecus_expansus,Thomomydoecus_barbarae,Thomomydoecus_minor,Geomydoecus_perotensis,Geomydoecus_nadleri,Geomydoecus_cherriei,Geomydoecus_costaricensis,Geomydoecus_panamensis,Geomydoecus_setzeri
Orthogeomys_cherriei,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orthogeomys_heterodus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthogeomys_underwoodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orthogeomys_hispidus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthogeomys_cavator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pappogeomys_bulleri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zygogeomys_trichopus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cratogeomys_castanops,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cratogeomys_merriami,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thomomys_bottae,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thomomys_talpoides,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Geomys_personatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geomys_breviceps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geomys_bursarius,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
