species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm
rodriguezii,97-5797,distichous,erect,yellow_green,musa,1,6.3,3.8,1,1.16,11.040000000000001,27.6
aurantiaca,01-6854,spiral,erect,white,zingiber,15,3,2.3333333333333335,1.6666666666666667,1.4333333333333333,3,11.666666666666666
acuminata,96-5587,distichous,erect,white_green,musa,2.765,8.25,2.525,2.55,1.8589999999999995,7.4,34.75
bihai,92-3547,distichous,erect,white_green,musa,5.9410596026490055,34.609271523178805,7.443708609271523,5.728476821192053,3.1711920529801327,34.450331125827816,161.2185430463576
caribaea,09-8657D,distichous,erect,white_green,musa,6.024264705882355,35.0264705882353,10.128676470588236,6.724264705882353,4.078676470588236,43.55367647058823,188.46397058823527
densiflora,91-3236,distichous,erect,orange_yellow,canna,2.857142857142857,9.5,3.5714285714285716,4,2.2142857142857144,7.785714285714286,21
psittacorum,94-4565,distichous,erect,yellow_green,zingiber,1.8333333333333333,8.616666666666667,1.3333333333333333,2,1.3483333333333334,3.5749999999999997,21.958333333333332
rostrata,96-5688B,distichous,pendent,yellow_green,canna,2.1,31.615384615384617,10.76923076923077,3.3076923076923075,3.6923076923076925,11.923076923076923,48.23076923076923
stricta,96-5717,distichous,erect,orange_yellow,zingiber,2.069565217391305,10.73913043478261,1.9130434782608696,1.6956521739130435,2.1956521739130435,7.552173913043478,35.65217391304348
mathiasiae,92-3492,distichous,erect,orange_yellow,zingiber,1.25,3.75,1.25,1.5,3.7,4.5,19.5
gracilis,97-5798,distichous,erect,white,musa_canna,0,1.8,1,0,0.96,3.8,15.4
waoraniana,01-6858,0,0,yellow,0,0,0,0,0,2.25,0,0
chartacea,96-5705,spiral,pendent,green,canna,3.933333333333334,39.6,6.2,4.34,3.5133333333333336,16.733333333333334,67
pseudoaemygdiana,91-3262,spiral,erect,0,0,0,0,0,0,2,0,0
vaginalis,95-5421,distichous,erect,yellow_green,canna_zingiber,2.0999999999999996,6.3076923076923075,2.1538461538461537,2,2.696153846153846,5.538461538461538,26.46153846153846
brachyantha,94-3648,distichous,erect,white_green,canna,0.5,2.1666666666666665,1,0.8333333333333334,1.1333333333333333,1.8333333333333333,8.333333333333334
lennartiana,82-1314,distichous,erect,white_green,musa,3.966666666666667,21,4.666666666666667,3.3333333333333335,1.9833333333333334,16.666666666666668,90.66666666666667
librata,92-3513,distichous,erect,yellow_green,musa,0.7333333333333334,7.666666666666667,6.333333333333333,2.3333333333333335,2.0833333333333335,8,30
reticulata,89-2566,distichous,erect,white_green,musa,3.4375,20.75,10.125,5.25,1.50625,17.25,46
indica,83-1551B,distichous,erect,pink_red_green,musa,4.9312499999999995,33.875,6.71875,11.25,4.5234375,36.65625,144.125
laufao,95-5581,spiral,erect,orange_yellow,musa,2.9875,25.25,8.25,5.5,3.40625,28.25,80.4375
solomonensis,83-1523,distichous,pendent,white_green,musa,3.9714285714285715,49,10.285714285714286,6.857142857142857,5.357142857142857,37.57142857142857,165
lanata,83-1520,spiral,pendent,yellow_green,musa,4.7250000000000005,32,11,8.25,4.125,38.75,140
papuana,83-1544,spiral_to_distichous,erect,white_green,musa,4.9125000000000005,25.875,6.75,13.25,4.25,34.75,176.25
metallica,92-3549,distichous,erect,pink_red_white,canna,2.814285714285714,9.214285714285714,3,2.4285714285714284,1.8571428571428572,12.857142857142858,48.57142857142857
