Species,State
Vestia_foetida,0
Protoschwenkia_mandonii,0
Browallia_americana,0
Browallia_eludens,0
Browallia_speciosa,0
Streptosolen_jamesonii,1
Melananthus_guatemalensis,0
Schwenckia_americana,0
Heteranthia_decipiens,0
Schwenckia_lateriflora,0
Schwenckia_glabrata,0
Brunfelsia_hydrangeiformis,0
Brunfelsia_guianensis,0
Brunfelsia_plowmaniana,0
Brunfelsia_imatacana,0
Brunfelsia_macrocarpa,0
Brunfelsia_dwyeri,0
Brunfelsia_cuneifolia,0
Brunfelsia_grandiflora,0
Brunfelsia_mire,0
Brunfelsia_chiricaspi,0
Brunfelsia_pauciflora,0
Brunfelsia_boliviana,0
Brunfelsia_australis,0
Brunfelsia_burchellii,0
Brunfelsia_clandestina,0
Brunfelsia_martiana,0
Brunfelsia_pilosa,0
Brunfelsia_uniflora,0
Brunfelsia_abbotti,0
Brunfelsia_picardae,0
Brunfelsia_jamaicensis,0
Brunfelsia_maliformis,0
Brunfelsia_clarensis,0
Brunfelsia_acunae,0
Brunfelsia_pluriflora,0
Brunfelsia_shaferi,0
Brunfelsia_sinuata,0
Brunfelsia_nitida,0
Brunfelsia_linearis,0
Brunfelsia_macroloba,0
Brunfelsia_americana,0
Brunfelsia_cestroides,0
Brunfelsia_purpurea,0
Brunfelsia_densifolia,0
Brunfelsia_portoricensis,0
Brunfelsia_lactea,0
Leptoglossis_darcyana,0
Nierembergia_frutescens,0
Nierembergia_pinifolia,0
Nierembergia_graveolens,0
Nierembergia_rigida,0
Nierembergia_hatschbachii,0
Nierembergia_micrantha,0
Nierembergia_spathulata,0
Nierembergia_repens,0
Nierembergia_rivularis,0
Nierembergia_angustifolia,0
Nierembergia_aristata,0
Nierembergia_veitchii,0
Nierembergia_calycina,0
Nierembergia_ericoides,0
Nierembergia_hippomanica,0
Nierembergia_scoparia,0
Nierembergia_riograndensis,0
Nierembergia_boliviana,0
Nierembergia_browallioides,0
Nierembergia_tucumanensis,0
Nierembergia_andina,0
Bouchetia_anomala,0
Bouchetia_erecta,0
Hunzikeria_texana,0
Plowmania_nyctaginoides,1
Leptoglossis_linifolia,0
Fabiana_imbricata,0
Calibrachoa_pygmaea,0
Calibrachoa_parviflora,0
Calibrachoa_heterophylla,0
Calibrachoa_missionica,0
Calibrachoa_humilis,0
Calibrachoa_linoides,0
Calibrachoa_pubescens,0
Calibrachoa_elegans,0
Calibrachoa_paranensis,0
Calibrachoa_ericifolia,0
Calibrachoa_sendtneriana,1
Calibrachoa_thymifolia,0
Calibrachoa_ovalifolia,0
Calibrachoa_micrantha,0
Calibrachoa_cordifolia,0
Calibrachoa_eglandulata,0
Calibrachoa_linearis,0
Calibrachoa_caesia,0
Calibrachoa_sellowiana,0
Calibrachoa_longistyla,0
Calibrachoa_spathulata,0
Calibrachoa_irgangiana,0
Calibrachoa_dusenii,0
Calibrachoa_serrulata,1
Petunia_guarapuavensis,0
Petunia_bajeensis,0
Petunia_exserta,1
Petunia_occidentalis,0
Petunia_riograndensis,0
Petunia_axillaris,0
Petunia_mantiqueirensis,0
Petunia_secreta,0
Petunia_altiplana,0
Petunia_scheideana,0
Petunia_interior,0
Petunia_reitzii,1
Petunia_saxicola,1
Petunia_bonjardinensis,0
Petunia_littoralis,0
Petunia_integrifolia,0
Anthocercis_littorea,0
Anthocercis_ilicifolia,0
Anthocercis_gracilis,0
Anthocercis_intricata,0
Anthocercis_sylvicola,0
Anthocercis_viscosa,0
Anthocercis_angustifolia,0
Anthotroche_pannosa,0
Anthotroche_myoporoides,0
Anthotroche_blackii,0
Anthotroche_walcottii,0
Cyphanthera_odgersii,0
Grammosolen_truncatus,0
Grammosolen_dixonii,0
Crenidium_spinescens,0
Cyphanthera_anthocercidea,0
Duboisia_hopwoodii,0
Duboisia_leichhardtii,0
Duboisia_myoporoides,0
Cyphanthera_albicans,0
Cyphanthera_microphylla,0
Anthocercis_racemosa,0
Anthocercis_myosotidea,0
Symonanthus_bancroftii,0
Symonanthus_aromaticus,0
Nicotiana_tabacum,0
Nicotiana_otophora,1
Nicotiana_kawakamii,0
Nicotiana_tomentosa,1
Nicotiana_tomentosiformis,0
Nicotiana_wigandioides,0
Nicotiana_thyrsiflora,0
Nicotiana_glutinosa,0
Nicotiana_arentsii,0
Nicotiana_undulata,0
Nicotiana_raimondii,0
Nicotiana_benavidesii,0
Nicotiana_paniculata,0
Nicotiana_rustica,0
Nicotiana_knightiana,0
Nicotiana_solanifolia,0
Nicotiana_cordifolia,0
Nicotiana_clevelandii,0
Nicotiana_obtusifolia,0
Nicotiana_trigonophylla,0
Nicotiana_palmeri,0
Nicotiana_spegazzinii,0
Nicotiana_linearis,0
Nicotiana_miersii,0
Nicotiana_corymbosa,0
Nicotiana_attenuata,0
Nicotiana_acuminata,0
Nicotiana_pauciflora,0
Nicotiana_debneyi,0
Nicotiana_africana,0
Nicotiana_occidentalis,0
Nicotiana_goodspeedii,0
Nicotiana_gossei,0
Nicotiana_megalosiphon,0
Nicotiana_rosulata,0
Nicotiana_excelsior,0
Nicotiana_amplexicaulis,0
Nicotiana_velutina,0
Nicotiana_rotundifolia,0
Nicotiana_cavicola,0
Nicotiana_maritima,0
Nicotiana_exigua,0
Nicotiana_suaveolens,0
Nicotiana_acaulis,0
Nicotiana_glauca,1
Nicotiana_noctiflora,0
Nicotiana_petunioides,0
Nicotiana_nudicaulis,0
Nicotiana_stocktonii,0
Nicotiana_nesophila,0
Nicotiana_repanda,0
Nicotiana_digluta,0
Nicotiana_sylvestris,0
Nicotiana_plumbaginifolia,0
Nicotiana_longiflora,0
Nicotiana_langsdorffii,0
Nicotiana_bonariensis,0
Nicotiana_rastroensis,0
Nicotiana_forgetiana,0
Nicotiana_mutabilis,0
Nicotiana_alata,0
Nicotiana_sanderae,0
Latua_pubiflora,0
Jaborosa_integrifolia,0
Jaborosa_sativa,0
Jaborosa_squarrosa,0
Anisodus_tanguticus,0
Anisodus_luridus,0
Anisodus_acutangulus,0
Anisodus_carniolicoides,0
Scopolia_japonica,0
Przewalskia_tangutica,0
Scopolia_carniolica,0
Scopolia_parviflora,0
Scopolia_lutescens,0
Physochlaina_praealta,0
Physochlaina_infundibularis,0
Physochlaina_orientalis,0
Physochlaina_physaloides,0
Atropanthe_sinensis,0
